Entity,Code,Year,Wind generation - TWh
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.002
Africa,,1994,0.0054
Africa,,1995,0.0063
Africa,,1996,0.0071
Africa,,1997,0.0072
Africa,,1998,0.0076
Africa,,1999,0.0198
Africa,,2000,0.1755
Africa,,2001,0.41558
Africa,,2002,0.44358402
Africa,,2003,0.535599
Africa,,2004,0.7682805
Africa,,2005,0.7803821
Africa,,2006,0.8525656
Africa,,2007,1.0162233
Africa,,2008,1.3117782
Africa,,2009,1.5892309
Africa,,2010,2.2845824
Africa,,2011,2.386504
Africa,,2012,2.5156302
Africa,,2013,3.5934472
Africa,,2014,5.060073
Africa,,2015,8.9106865
Africa,,2016,11.176371
Africa,,2017,13.6124935
Africa,,2018,14.762939
Africa,,2019,19.281773
Africa,,2020,19.105722
Africa,,2021,22.780289
Africa,,2022,23.893784
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.002
Africa (EI),,1994,0.0054
Africa (EI),,1995,0.0063
Africa (EI),,1996,0.0071
Africa (EI),,1997,0.0072
Africa (EI),,1998,0.0076
Africa (EI),,1999,0.0198
Africa (EI),,2000,0.1755
Africa (EI),,2001,0.41558
Africa (EI),,2002,0.443584
Africa (EI),,2003,0.535599
Africa (EI),,2004,0.7682805
Africa (EI),,2005,0.7803821
Africa (EI),,2006,0.8525656
Africa (EI),,2007,1.0162233
Africa (EI),,2008,1.3117782
Africa (EI),,2009,1.5892309
Africa (EI),,2010,2.2845824
Africa (EI),,2011,2.386504
Africa (EI),,2012,2.5156302
Africa (EI),,2013,3.5934472
Africa (EI),,2014,5.060073
Africa (EI),,2015,8.9106865
Africa (EI),,2016,11.176371
Africa (EI),,2017,13.6124935
Africa (EI),,2018,14.762939
Africa (EI),,2019,19.281773
Africa (EI),,2020,19.105722
Africa (EI),,2021,22.780289
Africa (EI),,2022,23.893784
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.001
Algeria,DZA,2015,0.019
Algeria,DZA,2016,0.019052055
Algeria,DZA,2017,0.019
Algeria,DZA,2018,0.01
Algeria,DZA,2019,0.01
Algeria,DZA,2020,0.0077
Algeria,DZA,2021,0.0105
Algeria,DZA,2022,0.0105
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.009618
Argentina,ARG,1997,0.014592
Argentina,ARG,1998,0.032541
Argentina,ARG,1999,0.034781
Argentina,ARG,2000,0.034758
Argentina,ARG,2001,0.049361
Argentina,ARG,2002,0.073405
Argentina,ARG,2003,0.077954
Argentina,ARG,2004,0.072446
Argentina,ARG,2005,0.07171966
Argentina,ARG,2006,0.06964
Argentina,ARG,2007,0.061593
Argentina,ARG,2008,0.04195108
Argentina,ARG,2009,0.036831528
Argentina,ARG,2010,0.025351606
Argentina,ARG,2011,0.02659055
Argentina,ARG,2012,0.369862
Argentina,ARG,2013,0.45335487
Argentina,ARG,2014,0.619491
Argentina,ARG,2015,0.593335
Argentina,ARG,2016,0.547359
Argentina,ARG,2017,0.611567
Argentina,ARG,2018,1.412743
Argentina,ARG,2019,4.9959664
Argentina,ARG,2020,9.410639
Argentina,ARG,2021,12.93755
Argentina,ARG,2022,14.164457
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.033323232
Asia,,1991,0.12300091
Asia,,1992,0.22078313
Asia,,1993,0.3098508
Asia,,1994,0.578078
Asia,,1995,1.1145912
Asia,,1996,0.9768788
Asia,,1997,1.1958565
Asia,,1998,1.4579804
Asia,,1999,2.029756
Asia,,2000,2.382639
Asia,,2001,3.2005217
Asia,,2002,3.4702802
Asia,,2003,4.594285
Asia,,2004,8.149257
Asia,,2005,10.250758
Asia,,2006,16.057991
Asia,,2007,21.330153
Asia,,2008,32.621487
Asia,,2009,50.676037
Asia,,2010,77.96538
Asia,,2011,110.11321
Asia,,2012,144.0823
Asia,,2013,184.99318
Asia,,2014,211.0802
Asia,,2015,240.93553
Asia,,2016,312.25238
Asia,,2017,390.942
Asia,,2018,465.7147
Asia,,2019,514.1577
Asia,,2020,578.2686
Asia,,2021,786.0449
Asia,,2022,907.2565
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
Asia Pacific (EI),,1981,0
Asia Pacific (EI),,1982,0
Asia Pacific (EI),,1983,0
Asia Pacific (EI),,1984,0
Asia Pacific (EI),,1985,0
Asia Pacific (EI),,1986,0
Asia Pacific (EI),,1987,0
Asia Pacific (EI),,1988,0
Asia Pacific (EI),,1989,0
Asia Pacific (EI),,1990,0.032323234
Asia Pacific (EI),,1991,0.12200091
